versao,N,threads,rep,tempo_s
v0,1024,1,1,2.298148
v0,1024,1,2,2.297716
v0,1024,1,3,2.297968
v0,1024,1,4,2.297936
v0,1024,1,5,2.297409
v1,1024,1,1,2.387691
v1,1024,1,2,2.388177
v1,1024,1,3,2.388721
v1,1024,1,4,2.388056
v1,1024,1,5,2.387616
v3,1024,20,1,10.063997
v3,1024,20,2,10.093856
v3,1024,20,3,10.205686
v3,1024,20,4,10.193149
v3,1024,20,5,10.195021
v2,1024,1,1,2.298005
v2,1024,1,2,2.299559
v2,1024,1,3,2.293474
v2,1024,1,4,2.293509
v2,1024,1,5,2.293197
v2,1024,2,1,1.159832
v2,1024,2,2,1.159552
v2,1024,2,3,1.159144
v2,1024,2,4,1.157789
v2,1024,2,5,1.158053
v2,1024,4,1,0.620853
v2,1024,4,2,0.620224
v2,1024,4,3,0.620099
v2,1024,4,4,0.620583
v2,1024,4,5,0.620440
v2,1024,8,1,0.320775
v2,1024,8,2,0.320922
v2,1024,8,3,0.321287
v2,1024,8,4,0.321087
v2,1024,8,5,0.320990
v2,1024,16,1,0.162446
v2,1024,16,2,0.161980
v2,1024,16,3,0.162038
v2,1024,16,4,0.161906
v2,1024,16,5,0.162140
v2,1024,20,1,0.131541
v2,1024,20,2,0.131577
v2,1024,20,3,0.131502
v2,1024,20,4,0.131507
v2,1024,20,5,0.131530
v4,1024,1,1,0.289345
v4,1024,1,2,0.289675
v4,1024,1,3,0.289361
v4,1024,1,4,0.289421
v4,1024,1,5,0.289425
v4,1024,20,1,0.018835
v4,1024,20,2,0.017706
v4,1024,20,3,0.016984
v4,1024,20,4,0.016712
v4,1024,20,5,0.017388
