versao,N,threads,rep,tempo_s
v0,1024,1,1,3.950398
v0,1024,1,2,3.943133
v0,1024,1,3,3.951958
v0,1024,1,4,3.951541
v0,1024,1,5,3.942787
v1,1024,1,1,3.892583
v1,1024,1,2,3.888224
v1,1024,1,3,3.886383
v1,1024,1,4,3.885138
v1,1024,1,5,3.878200
v3,1024,8,1,1.792952
v3,1024,8,2,1.857754
v3,1024,8,3,1.801334
v3,1024,8,4,1.781180
v3,1024,8,5,1.783163
v2,1024,1,1,3.961927
v2,1024,1,2,3.948382
v2,1024,1,3,3.943371
v2,1024,1,4,3.938471
v2,1024,1,5,3.934011
v2,1024,2,1,1.208485
v2,1024,2,2,1.213327
v2,1024,2,3,1.222452
v2,1024,2,4,1.226358
v2,1024,2,5,1.221817
v2,1024,4,1,0.623068
v2,1024,4,2,0.624484
v2,1024,4,3,0.624725
v2,1024,4,4,0.625871
v2,1024,4,5,0.625369
v2,1024,8,1,0.328641
v2,1024,8,2,0.320116
v2,1024,8,3,0.316583
v2,1024,8,4,0.320396
v2,1024,8,5,0.324342
v4,1024,1,1,0.086802
v4,1024,1,2,0.084998
v4,1024,1,3,0.085233
v4,1024,1,4,0.084589
v4,1024,1,5,0.084262
v4,1024,8,1,0.012201
v4,1024,8,2,0.012232
v4,1024,8,3,0.012421
v4,1024,8,4,0.012478
v4,1024,8,5,0.012380
